"post_id","title","description"
"430","Breaking through the publishing glass ceiling: A tribute to my literary agent","Sheridan Prasso honors the late Elaine Markson, a trailblazing literary agent who championed women writers and helped shatter publishing's glass ceiling beginning in the 1970s."
"439","Travel Essay: Hiking Huangshan helped me conquer the mountain within","Betty Xiao recounts her solo trek up China's Yellow Mountain, defying the doubts of loved ones to confront the fears and limits she carried within."
"452","Female artists and writers reflect on feminist art and journalism","At a NüVoices panel in Beijing, artists Li Xinmo and Annabel Gueredrat join journalist Joanna Chiu to explore how feminism shapes their creative and reporting practices despite personal and professional risks."
"456","Fiction Excerpt: Tender Darling","An American expat's apartment hunt in Shanghai becomes a sharp study in identity and belonging when her Shanghai-born British landlord declares she won't rent to Chinese tenants."
"540","NüVoices Podcast #1: News assistants in China","The debut NüVoices podcast features hosts Alice Xin Liu and Joanna Chiu interviewing two Chinese women working as news assistants for foreign media, exploring the often-uncredited journalistic labor behind foreign correspondence in China."
"543","NüVoices Podcast #2: China’s #MeToo momentum, with Yuan Yang","Yuan Yang of the Financial Times joins hosts Alice Xin Liu and Joanna Chiu to examine how #MeToo gained momentum in mainland China, navigating censorship and institutional pressure as the movement spread from universities to NGOs, media, and the arts."
"547","NüVoices Podcast #3: Meet fantasy writer Mima, who aspires to create China’s Game of Thrones","Fantasy writer Mima (Qima 七马) discusses her novel The Legend of Strangers and her work scripting it into a web series for Youku, joined by new co-host Sophie Lu in this third NüVoices Podcast episode."
"550","NüVoices Podcast #4: Technology and bias with Christina Larson","Christina Larson joins Alice and Sophie to explore technology and bias in China, from the social credit system to AI's gender biases, plus why reproductive burdens fall on women—and share self-care picks from calligraphy to bird science."
"571","Shanghai NüVoices discussion salon","NüVoices launched its Shanghai discussion salon, where attendees shared experiences with workplace sexism and brainstormed actionable steps—from unconscious bias training to amplifying women's voices on expert panels."
"575","NüVoices launches in Hong Kong","NüVoices, a collective amplifying women writers and artists focused on China, celebrated its Hong Kong launch with open discussion of gender representation in media and a growing directory of nearly 500 female experts."
"628","Berlin Stammtisch: Launch of Europe's NüVoices network","NüVoices launched its European network at a Berlin Stammtisch, where members discussed improving China coverage, expanding expert lists, and exploring independent funding and storytelling formats beyond mainstream media."
"644","A NüVoices gathering in Taipei","At NüVoices' inaugural Taipei gathering, journalists, artists, and activists explored the gap between Taiwan's progressive reputation and the persistent realities of gender inequality, assault taboos, and media invisibility."
"420","Hong Kong's lesbian spaces and the stories behind them","Benita Chick navigates Hong Kong's hidden LGBTQ+ venues—secret bars tucked in revolutionary-era alleyways—to uncover the overlooked history of the city's lesbian spaces."
"437","Five female Chinese artists explore femininity","Five female Chinese artists from across the diaspora challenge the art world's stark gender imbalance, using mediums from paper cutting to installation to explore the forces that shape women's lives."
"554","Personal Essay by a Chinese-American: Distances","Huizhong Wu reflects on the quiet distances of a Chinese-American upbringing, finding refuge in friends' homes that mirrored the American life she longed to inhabit."
"726","NüVoices community: October social gathering in Hong Kong","NüVoices hosted an informal community gathering in Hong Kong in October 2018, bringing together diverse voices to discuss #MeToo developments in China, female representation in sci-fi writing, and other pressing topics over food and drinks."
"742","How to rock your broadcast appearance","Sophia Yan shares hard-won tips for navigating live and taped broadcast appearances, from earpiece etiquette to handling remote anchors, drawing on her own transition from print journalism to television."
"744","Loud Murmurs: A feminist Chinese podcast deconstructing US pop culture","Afra Wang examines how US pop culture shaped a generation of Chinese youth and how Loud Murmurs, a feminist podcast, now deconstructs the values Hollywood exported unchallenged."
