"post_id","title","description"
"430","Breaking through the publishing glass ceiling: A tribute to my literary agent","When her legendary literary agent passed away, Sheridan Prasso went searching for new representation—and found the publishing world's glass ceiling still firmly intact."
"439","Travel Essay: Hiking Huangshan helped me conquer the mountain within","A solo traveler's nervous arrival at a Huangshan youth hostel becomes the start of an unexpected journey — one where conquering China's legendary Yellow Mountain means facing the doubts of loved ones and the limits within herself."
"452","Female artists and writers reflect on feminist art and journalism","From a Beijing artist who won't call herself feminist to a nude performer healing through dance, four women explore the bold, complicated intersection of art, journalism, and feminism in China and beyond."
"456","Fiction Excerpt: Tender Darling","An apartment tour in a gaudy Shanghai high-rise takes a sharp turn when the landlord's startling confession unravels every assumption about race, identity, and belonging."
"540","NüVoices Podcast #1: News assistants in China","Meet the unsung journalists behind the headlines: in this debut episode, Alice Xin Liu and Joanna Chiu spotlight Chinese women news assistants who do the legwork but rarely get the byline, while sharing how NüVoices amplifies women's voices in Greater China."
"543","NüVoices Podcast #2: China’s #MeToo momentum, with Yuan Yang","Explore how #MeToo gained momentum in China despite censorship, as hosts Alice Xin Liu and Joanna Chiu talk with the Financial Times' Yuan Yang about the movement's spread from campuses to the wider world."
"547","NüVoices Podcast #3: Meet fantasy writer Mima, who aspires to create China’s Game of Thrones","Meet fantasy writer Mima, whose epic novel blends Tarantino's gritty style with Miyazaki's whimsy. Now scripting her series for one of China's biggest streaming platforms, she might just be the next George R. R. Martin."
"550","NüVoices Podcast #4: Technology and bias with Christina Larson","Join Alice, Sophie, and science journalist Christina Larson as they unpack how technology reinforces gender biases—from China's social credit system to AI—and why women still bear the burden of ""fixing"" the economy. Plus: their best self-care picks."
"571","Shanghai NüVoices discussion salon","NüVoices launched in Shanghai with a powerful discussion salon where attendees shared experiences with sexism and brainstormed everyday actions to combat inequality in workplaces and beyond."
"575","NüVoices launches in Hong Kong","A collective of women writers and artists launches in Hong Kong, sparking vital conversations about representation, #MeToo, and the power of diverse voices in media coverage of China."
"628","Berlin Stammtisch: Launch of Europe's NüVoices network","From a Berlin café table, a bold conversation began — NüVoices launches its European network, bringing together journalists, researchers, and China watchers to reimagine how stories about China are told."
"644","A NüVoices gathering in Taipei","Over three-cup-chicken pizza in Taipei, journalists, artists, and activists gathered for NüVoices' first Taiwan meetup to tackle the questions simmering beneath the surface: Why hasn't #MeToo taken hold here, and why does the world keep overlooking Taiwan?"
"420","Hong Kong's lesbian spaces and the stories behind them","In the same narrow alleys where revolutionaries once plotted to topple a dynasty, Hong Kong's hidden LGBTQ+ spaces quietly thrive. Benita Chick maps the secret bars and stories most locals never see."
"437","Five female Chinese artists explore femininity","Meet five female Chinese artists whose striking work challenges the art world's gender imbalance and reveals the cultural forces that shape women into who they become."
"554","Personal Essay by a Chinese-American: Distances","She could navigate a city's transit system alone by middle school—but the hardest distances to cross were between her immigrant home and the picture-perfect American lives she longed to inhabit."
"726","NüVoices community: October social gathering in Hong Kong","Join the NüVoices community in Hong Kong for an evening of food, drinks, and spirited conversation—from #MeToo developments in China to podcasting ideas and beyond. All perspectives welcome."
"742","How to rock your broadcast appearance","From print journalist to live TV veteran, Sophia Yan shares her hard-won tips for nailing broadcast appearances—whether you're staring down the barrel of a camera or chatting with an anchor on set."
"744","Loud Murmurs: A feminist Chinese podcast deconstructing US pop culture","Growing up in China on Hollywood and Jon Stewart was one thing—learning to question it all was another. Meet the feminist podcast dissecting US pop culture with fresh, critical eyes."
"747","Personal Essay by a Chinese adoptee: I returned to China to find my biological family and discover my cultural roots","Between two cultures and continents, a Chinese adoptee raised in Quebec returns to her birthplace to search for the biological family she never knew—and the missing piece of her identity."
"768","NüVoices Podcast #5: Joan Xu on screenwriting in China","From Harvard to Beijing's screenwriting scene, Joan Xu shares her journey crafting action-adventure stories for China-Hollywood co-productions, plus the team celebrates exciting NüVoices launches and swaps self-care picks."
"788","NüVoices launches in New York November 1!","NüVoices heads to New York! Join us at Verso Books in Brooklyn for our first North American chapter launch, featuring a powerhouse panel on feminist organizing in China — free entry, drinks, and great community."
"823","Translation: Reflections on #MeToo and machismo violence by Peruvian writer Gabriela Wiener","Peruvian writer Gabriela Wiener built her reputation exploring sex and identity—until #MeToo transformed her voice into one of fierce resistance. This translation connects her reckoning with machismo to a global wave of women demanding change, from Lima to Beijing."
"834","NüVoices Podcast #6: Oral histories and family stories with Karoline Kan","Dive into a rich conversation about oral histories, family storytelling, and the art of memoir as writer Karoline Kan shares her journey from personal essays to her debut book, Under Red Skies."
"838","Fiction Excerpt: Searching for Gao Meng","A young scholar in Nanjing becomes captivated by Ding Ling, a revolutionary writer silenced for exposing how liberation still left women behind—and her obsession opens doors she never expected."
"859","Madeleine O'Dea on her memoir The Phoenix Years, Chinese artists and the nation's transformation","What does it feel like to live through a nation's rebirth? Madeleine O'Dea follows nine Chinese artists through four decades of hope, creativity, and the ongoing fight for free expression."
"890","NüVoices Podcast #7: A rocket maker turned journalist, Lijia Zhang","From rocket factory worker to award-winning author, Lijia Zhang's extraordinary journey spans protest, literature, and giving voice to China's ""little people."" Hear her story on NüVoices Podcast #7."
"893","Social: NüVoices London Dinner/Drinks","Join NüVoices in London for an evening of dinner, drinks, and lively conversation with fellow China enthusiasts—connect, collaborate, and help shape the future of NüVoices at this intimate Bloomsbury gathering."
"931","100+ attend NüVoices NYC launch and discussion on Chinese feminism","Over 100 people packed Verso Books for NüVoices NYC's standing-room-only launch, where an all-female panel tackled Chinese feminism, the Feminist Five, and #MeToo — proving the demand for feminist voices in China scholarship has never been stronger."
"960","NüVoices Podcast #8: Eleanor Goodman on the art of translating Chinese poetry","Discover how Eleanor Goodman bridges worlds through translating Chinese poetry, from Wang Xiaoni's luminous verses to the raw power of workers' poetry in Iron Moon — plus self-care tips from the hosts."
"964","Community: A NüVoices gathering in London","From Beijing to London, NüVoices brought together 25+ China watchers, creators, and activists for an evening of bold conversation—on #MeToo, media representation, and building a network that amplifies women's voices across China-related fields."
"1032","NüVoices Podcast #9: Long-Form Magazine Writing With The New Yorker’s Jiayang Fan","Jiayang Fan of The New Yorker joins the NüVoices crew live from Brooklyn to talk immigrant roots, long-form storytelling, and what it means to write about China on your own terms."
"1232","NüVoices Podcast #10: All-female improv group ""Beijing Broads""","Meet the Beijing Broads — an all-female improv troupe spanning seven countries — as they riff on comedy, confidence, and getting women to own the stage in this lively episode."
"987","Personal Essay by a Chinese daughter: The half-truths we tell in times of sickness","A mother calls from the hospital claiming she's seeing a dentist. A daughter promises everything will be fine. Wang Zhen traces the fragile web of half-truths her family wove to shield each other from an unbearable diagnosis."
"1011","Short Story from a Queer Woman: Tearing","A married woman falls for the enigmatic Ostrich in a dizzying cascade of WeChat pings. Alice Xin Liu captures the raw, intoxicating unraveling of desire and identity."
"1040","Opinion: Why women are leaving Hong Kong tech companies","When one woman left her desk at a Hong Kong tech company, the silence lingered for weeks. She wasn't the only one. Athena Lam explores the structural forces driving women out of the city's tech industry."
"1066","NüYear Drinks in DC - Welcome NüVoices to the US Capital!","Ring in the Year of the Pig with NüVoices in DC! Join us for drinks, snacks, and good conversation as we launch our new chapter in the nation's capital—all are welcome."
"1082","NüVoices and YCW London invites you to our China careers wanel","Join NüVoices and Young China Watchers London for a dynamic wanel exploring how to build a thriving China-related career, with insights from three experts spanning media, academia, and government—plus tips on championing gender equality in the workplace."
"1098","NüVoices of the Diaspora: An evening of storytelling in NYC","An evening of storytelling at MOCA featuring Muna Tseng, Alvin Eng, Karoline Kan, and Angel Yau — spanning readings, spoken word, video, and music — plus an open mic inviting audiences to share their own diaspora stories."
"1109","Meet the queer women organizers of Shanghai's LGBTQ community","From opening Shanghai's first lesbian bar to grassroots organizing, four bold women are carving out spaces for visibility, community, and celebration in the city's queer scene."
"1114","Women experts discuss gender issues and how to build successful China-related careers in London Wanel","Three women experts in media, academia, and policy share their China-related career journeys and tackle gender issues at this NüVoices London panel, offering insights for anyone navigating the China-watching world."
"1128","NüVoices invites you to our London Launch Wanel ""Being feminist in China: Gender issues across generations""","Join NüVoices in London for a bold conversation on feminism in China—from Mao-era promises to #MeToo's awakening—exploring gender activism, inequality, and resistance across generations in Mainland China and Hong Kong."
"1195","NüVoices DC Event: Life under Chinese Rule in Xinjiang","Hear firsthand from Uyghur women about life under Chinese rule in Xinjiang — from childhood memories to the current crisis — at this powerful NüVoices DC conversation with Zubayra Shamseden, Irade Kashgary, and moderator Elise Anderson."
"1209","WATCH: Over 80 attend NüVoices London launch wanel ""Being feminist in China: Gender issues across generations""","What does it mean to be feminist in China today? Over 80 people packed NüVoices' sold-out London launch to hear leading writers and activists explore gender struggles across generations."
"1225","Q&A with NüVoices board member Karoline Kan, author of Under Red Skies","Former NYT reporter and NüVoices board member Karoline Kan traces three generations of Chinese women in her groundbreaking memoir—the first English-language account from a Chinese millennial published in America."
"1237","DC Event recap: Uyghur women on the ongoing human rights crisis in their homeland","Two Uyghur women share powerful firsthand perspectives on the human rights crisis affecting their community, from political prisoners to diaspora families left behind, at NüVoices DC's inaugural panel event."
"1256","NüVoices Podcast #11: Queer culture, perception, and representation within China, with Alex Li","What does ""queer"" mean in a Chinese context? Vice China's Alex Li explores identity, bisexuality, and LGBTQ+ representation in media—plus self-care recs from fan fiction to Janelle Monáe."
