"post_id","title","description"
"430","Breaking through the publishing glass ceiling: A tribute to my literary agent","Sheridan Prasso remembers her late literary agent Elaine Markson, a pioneering feminist who championed women writers and broke barriers in the male-dominated publishing world."
"439","Travel Essay: Hiking Huangshan helped me conquer the mountain within","Betty Xiao travels solo to central China's Huangshan to hike Yellow Mountain, pushing past others' concerns and her own doubts to take on the challenging climb."
"452","Female artists and writers reflect on feminist art and journalism","Female artists and a journalist explore how feminism shapes their creative and reporting practices at a NüVoices panel discussion on art, performance, and media in China."
"456","Fiction Excerpt: Tender Darling","A fiction excerpt following an American expat apartment-hunting in Shanghai, where her British-Chinese landlord's candid remarks reveal complex tensions around identity, race, and belonging."
"540","NüVoices Podcast #1: News assistants in China","In this debut episode, hosts Alice Xin Liu and Joanna Chiu interview two Chinese women working as news assistants for foreign media and discuss the origins and mission of the NüVoices editorial collective."
"543","NüVoices Podcast #2: China’s #MeToo momentum, with Yuan Yang","NüVoices Podcast episode two features hosts Alice Xin Liu and Joanna Chiu interviewing Financial Times correspondent Yuan Yang about the #MeToo movement's spread across mainland China despite censorship and institutional pressure."
"547","NüVoices Podcast #3: Meet fantasy writer Mima, who aspires to create China’s Game of Thrones","Fantasy writer Mima discusses her novel The Legend of Strangers and its adaptation into a web series for Youku, joined by co-host Sophie Lu in this third episode of the NüVoices Podcast."
"550","NüVoices Podcast #4: Technology and bias with Christina Larson","Christina Larson joins Alice and Sophie to discuss technology and bias, covering China's social credit system, gender bias in artificial intelligence, and reproductive issues tied to economic policy."
"571","Shanghai NüVoices discussion salon","NüVoices held its Shanghai launch event in June at Bitter on Wu Yuan Lu, where attendees discussed personal experiences with sexism and brainstormed workplace actions to combat gender inequality."
"575","NüVoices launches in Hong Kong","NüVoices, a collective supporting women writers and artists focused on China, celebrated its Hong Kong launch with discussions on gender representation in media and a directory of nearly 500 female experts."
"628","Berlin Stammtisch: Launch of Europe's NüVoices network","A recap of NüVoices' first Berlin Stammtisch, where members discussed improving China coverage in European media and brainstormed ideas for expanding the network, diversifying storytelling formats, and exploring funding options."
"644","A NüVoices gathering in Taipei","NüVoices held its first Taipei gathering, bringing together journalists, artists, and activists to discuss women's issues, gender equality, and Taiwan's visibility in international media."
"420","Hong Kong's lesbian spaces and the stories behind them","Benita Chick explores Hong Kong's hidden LGBTQ+ venues, tracing their connections to the city's history of secret meeting places and the cultural significance of spaces like T:ME Bar in Central."
"437","Five female Chinese artists explore femininity","Five artworks by female Chinese artists from Mainland China, Hong Kong, Taiwan, and Malaysia explore femininity, gender expectations, and the experiences that shape women."
"554","Personal Essay by a Chinese-American: Distances","Huizhong Wu reflects on growing up Chinese-American, navigating the cultural distance between her immigrant family's home and the familiar American households of her childhood friends."
"726","NüVoices community: October social gathering in Hong Kong","A recap of the NüVoices community's informal social gathering held in October 2018 in Hong Kong, where attendees discussed #MeToo developments in China, podcast ideas, and other topics over food and drinks."
"742","How to rock your broadcast appearance","Sophia Yan shares practical tips for appearing on broadcast television, from understanding live versus taped formats to handling earpieces and speaking to remote anchors."
"744","Loud Murmurs: A feminist Chinese podcast deconstructing US pop culture","A look at Loud Murmurs, a feminist Chinese podcast that critically analyzes US pop culture, exploring how American media has shaped the perspectives of Chinese audiences."
"747","Personal Essay by a Chinese adoptee: I returned to China to find my biological family and discover my cultural roots","A Chinese adoptee raised in francophone Quebec returns to China to search for her biological family and explore the cultural identity shaped by growing up between two worlds."
"768","NüVoices Podcast #5: Joan Xu on screenwriting in China","Joan Xu discusses her work as a screenwriter in Beijing, including China-Hollywood co-productions and her web series The Circle, in this episode hosted by Alice Xin Liu and Sophie Lu."
"788","NüVoices launches in New York November 1!","NüVoices, an international editorial collective focused on women working on China-related topics, announced its first North American chapter launch in New York on November 1, featuring a panel discussion on contemporary feminist organizing in China."
"823","Translation: Reflections on #MeToo and machismo violence by Peruvian writer Gabriela Wiener","Isolda Morillo translates Peruvian writer Gabriela Wiener's reflections on #MeToo and machismo violence, exploring the movement's global resonance from Latin America to China."
"834","NüVoices Podcast #6: Oral histories and family stories with Karoline Kan","Karoline Kan joins the NüVoices podcast to discuss oral histories, family storytelling, the personal essay genre, and her memoir Under Red Skies about three generations of life in China."
"838","Fiction Excerpt: Searching for Gao Meng","A student in Nanjing becomes captivated by the life of Chinese writer Ding Ling, whose feminist writings were censored after clashing with Mao's political demands."
"859","Madeleine O'Dea on her memoir The Phoenix Years, Chinese artists and the nation's transformation","Madeleine O'Dea discusses her memoir The Phoenix Years, which traces China's transformation over four decades through the stories of nine contemporary Chinese artists and their struggles for creative freedom."
"890","NüVoices Podcast #7: A rocket maker turned journalist, Lijia Zhang","In this episode, co-hosts Sophie Lu and Joanna Chiu interview author and journalist Lijia Zhang about her journey from rocket factory worker to award-winning writer giving voice to China's marginalized communities."
"893","Social: NüVoices London Dinner/Drinks","NüVoices hosted a dinner and drinks social in Central London on November 23, inviting those interested in China to connect, discuss current topics, and explore collaboration opportunities including an upcoming women's panel launch event."
"931","100+ attend NüVoices NYC launch and discussion on Chinese feminism","Over 100 people attended the NüVoices NYC launch at Verso Books in November 2018, featuring a panel discussion on contemporary Chinese feminism with Leta Hong Fincher, Rebecca Karl, and Lü Pin."
"960","NüVoices Podcast #8: Eleanor Goodman on the art of translating Chinese poetry","Eleanor Goodman discusses translating Chinese poetry, including her work on Wang Xiaoni and the workers' poetry anthology Iron Moon, plus her own poetry collection Nine Dragon Island."
"964","Community: A NüVoices gathering in London","NüVoices held its first London social gathering on November 23, bringing together over 25 China watchers, creators, academics, and activists to connect professionals interested in amplifying women's voices in China-related fields."
"1032","NüVoices Podcast #9: Long-Form Magazine Writing With The New Yorker’s Jiayang Fan","Alice Xin Liu and Joanna Chiu speak with New Yorker staff writer Jiayang Fan about her immigrant background, long-form magazine writing on China, and the landscape of Asian-American writing."
"1232","NüVoices Podcast #10: All-female improv group ""Beijing Broads""","NüVoices Podcast episode 10 features an interview with Anete and Silvia of Beijing Broads, an all-female improv group, discussing comedy in China, supporting women performers, and the charity Educating Girls of Rural China."
"987","Personal Essay by a Chinese daughter: The half-truths we tell in times of sickness","Wang Zhen reflects on her family's collective decision to conceal the severity of her mother's brain cancer diagnosis, exploring how half-truths became acts of love and protection."
"1011","Short Story from a Queer Woman: Tearing","A married woman recounts falling for a woman nicknamed Ostrich, met through a running club in China, navigating unexpected queer desire and the painful unraveling of a love triangle."
"1040","Opinion: Why women are leaving Hong Kong tech companies","Athena Lam examines why women are leaving Hong Kong's tech industry, exploring the structural barriers, gender gap among graduates, and workplace challenges driving female talent away."
"1066","NüYear Drinks in DC - Welcome NüVoices to the US Capital!","NüVoices hosted a Lunar New Year gathering in Washington, DC on February 4, 2019, marking the launch of its DC chapter with drinks, snacks, and discussion at Petworth Citizen & Reading Room."
"1082","NüVoices and YCW London invites you to our China careers wanel","NüVoices and Young China Watchers London co-host a women's panel on building China-related careers, featuring experts from media, academia, and government discussing industry insights and gender equity in the workplace."
"1098","NüVoices of the Diaspora: An evening of storytelling in NYC","NüVoices of the Diaspora was a storytelling event in NYC featuring artists Muna Tseng, Alvin Eng, Karoline Kan, and Angel Yau, with readings, spoken word, and music exploring diaspora experiences, hosted at the Museum of Chinese in America."
