"post_id","title","description"
"4419","NüVoices Podcast Bonus #2: What You Know (and Didn’t Know), a Reading by Chris Yitao Shen","Listen to Chris Yitao Shen read her award-winning personal essay exploring Chinese identity — a quiet, powerful reflection on what we carry and what remains unspoken, from NüVoices' first-ever NüStories essay contest."
"4415","NüVoices Podcast #128: The Wall Dancers: A Conversation with Journalist and Author Yi-Ling Liu","Journalist Yi-Ling Liu explores how marginalized communities navigate censorship on the Chinese internet—and why the dream of a truly ""open"" internet may already be a thing of the past."
"4411","NüVoices Podcast Bonus #1: You Need Glasses for Asian Faces, a Reading by Juliette Yu-Ming Lizeray","Listen as first-place NüStories essay winner Juliette Yu-Ming Lizeray reads her powerful piece exploring Chinese identity, perception, and what it truly means to be seen."
"4400","Inside the Tongren World: Chinese Feminist Zine ‘Pubis’ Celebrates Queer Love","Born at London's Vagina Museum, 'Pubis' is the first bilingual Chinese-English zine to spotlight tongren nü — a vibrant female fandom rewriting desire, queerness, and power on its own terms."
"4397","Chinese American novelist Gish Jen exhumes her mother’s cruelty in an intimate reconciliation","In her most personal book yet, Gish Jen fictionalises her mother's journey from wartime Shanghai to immigrant America, blurring memoir and novel to reckon with the cruelty and love that bound them."
"4388","Enter NüVoices Magazine’s 2026 creative non-fiction contest","Submit your creative nonfiction exploring what it means to live ""In Flux"" — free to enter, with cash prizes up to $100, open to women, non-binary, and queer writers whose work engages with China."
"4386","NüVoices Podcast #127:  Joanna Chiu and Jessie Lau on Media Entrepreneurship and the Power of Innovation","From launching NüVoices in a Beijing cafe to founding groundbreaking new ventures, Joanna Chiu and Jessie Lau share hard-won wisdom on thriving in a changing media landscape."
"4353","Hong Kong’s Struggle: Three Books Reflect on the City in Revolt","What happened after the tear gas cleared? Three books offer strikingly different takes on Hong Kong's 2019 uprising, its legal battles, and its reverberations across Asia."
"4376","Women only make up a third of all speakers on China panels in Europe, research shows","New research tracking 268 events and 210 podcasts reveals a stark gender gap in Europe's China debate—women make up just a third of all speakers. So where have all the expert voices gone?"
"4366","NüVoices Podcast #126: A Conversation with Maya Wang on the Future of Chinese Human Rights Advocacy ","In a world of rising authoritarianism and shrinking freedoms, human rights researcher Maya Wang joins Joanna Chiu to explore what's next for Chinese human rights advocacy—and why the fight matters more than ever."
"4362","EVENT: Fall Fundraiser and Karaoke Meetup in NYC","Join NüVoices in NYC on November 23 for an afternoon of readings, raffle prizes, and karaoke! Meet the team, preview our new website, and discover ways to get involved with our magazine, podcast, and chapters worldwide."
"4310","In ‘Foretokens,’ poet Sarah Howe parses the puzzle of her inheritance","What do we carry from the mothers who carried us? Sarah Howe's stunning Foretokens unravels three generations of pain, belonging, and the riddles written into our bloodlines."
"4338","Britain’s Diaspora-Led Hong Kong Film Festival Shines a Spotlight on the City’s Women Directors","Discover how the UK's diaspora-led Hong Kong Film Festival is reframing women's filmmaking — from intimate tales of motherhood to dreamy explorations of political memory and migration."
"4340","Virtual Workshop: Writing Across Borders: Crafting Essays on Science, Culture & Current Events with Yangyang Cheng","Join writer Yangyang Cheng for a virtual workshop on crafting essays that move beyond headlines and state-centric narratives—learning to tell nuanced stories about science, culture, and the people whose lives span borders and superpowers."
"4334","NüVoices Podcast #125: A Conversation with Director Elizabeth Lo about her Documentary, ‘Mistress Dispeller’","What if you could hire someone to secretly end your spouse's affair? Director Elizabeth Lo explores China's fascinating ""mistress dispelling"" industry in her intimate, award-winning documentary."
"4330","Hong Kong Law Students Pursue Justice Against AI Deepfakes","When a male classmate used AI to create explicit images of over 20 women from their photos, these Hong Kong law students didn't just seek justice—they exposed the legal void that left them unprotected."
"4320","NüProfile: Translator Sarah Ye ties Shakespeare to Classical Chinese poetry","Sarah Ye translated all 154 of Shakespeare's sonnets into Chinese—and discovered that the Bard and classical Chinese poets had far more in common than anyone expected."
"4312","NüVoices Podcast #124: Daughters of the Bamboo Grove: A Conversation with Award-winning Author Barbara Demick","Barbara Demick returns to share the gripping true story of twin sisters torn apart by China's One Child Policy—and the investigative journalism that brought them back together."
"4305","Meng Han Hsieh’s film ‘The Test’ powerfully portrays Britain’s alienating naturalisation process","A hoodie, a hostile guard, and 24 questions about ""Britishness""—Meng Han Hsieh's award-nominated short film reveals what the UK citizenship test really feels like for immigrants."
"4300","NüVoices Podcast #123: Grace Shao, China’s AI boom and the myth of US-China race","Think you understand the US-China AI race? Analyst Grace Shao reveals why the popular narrative misses the mark—and what's really fueling China's AI boom and robotics future."
"4297","Meet the Hong Kong migrant mums swapping the workplace for home life","When thousands of Hong Kong mothers moved to the UK, many traded careers for kitchens. As they navigate a new country and a new identity, what does motherhood mean when everything else has changed?"
"4291","Overseas Chinese feminists call on Beijing to protect women from digital violence","A massive Telegram scandal exposed the covert sharing of women's intimate images to nearly a million users. Now, overseas Chinese feminists are demanding Beijing take action against digital violence."
